Date;Ticker;Quantity;Price;Order Type;Limit Price;Open/Close;Realtime Price Bitpanda
2025-08-08;BTC-EUR;0.009984;102165.42328125;Limit;101163.801484375;Close;100162.1796875
2025-08-08;ETH-EUR;0.270961;3764.37474609375;Limit;3727.469111328125;Close;3690.5634765625
2025-08-08;DOGE-EUR;4795.657923;0.21269240140914916;Limit;0.21060718178749085;Close;0.20852196216583252
2025-08-08;SOL-EUR;6.401814;159.32983337402345;Limit;157.76777618408204;Close;156.20571899414062
2025-08-08;LINK-EUR;53.836799;18.946148643493654;Limit;18.760402088165282;Close;18.574655532836914
2025-08-08;XRP-EUR;358.534928;2.8449111127853395;Limit;2.817019827365875;Close;2.789128541946411
2025-08-05;BTC-EUR;0.009984;99160.557890625;Limit;98158.93609375;Open;100162.1796875
2025-08-05;ETH-EUR;0.270961;3653.657841796875;Limit;3616.75220703125;Open;3690.5634765625
2025-08-05;DOGE-EUR;4795.657923;0.20643674254417418;Limit;0.20435152292251588;Open;0.20852196216583252
2025-08-05;SOL-EUR;6.401814;154.6436618041992;Limit;153.0816046142578;Open;156.20571899414062
2025-08-05;LINK-EUR;53.836799;18.388908977508546;Limit;18.203162422180174;Open;18.574655532836914
2025-08-05;XRP-EUR;358.534928;2.761237256526947;Limit;2.733345971107483;Open;2.789128541946411
